"","company","data_year","fuel_type","value"
"2374","Fujitsu",2018,"Other",7736536.72214452
"2384","Fujitsu",2017,"Other",8572919.07048447
"2394","Fujitsu",2016,"Other",8958295.97368856
"2404","Fujitsu",2015,"Other",8966477.06590197
"2417","Fujitsu",2014,"Other",8782014.65756946
"2424","Fujitsu",2013,"Other",8991110.24465445
"2434","Fujitsu",2012,"Other",9479752.13234303
"2444","Fujitsu",2011,"Other",9596007.16501727
"2454","Fujitsu",2010,"Other",8256975.63839906
"2464","Fujitsu",2009,"Other",10183373.282213
"2474","KDDI Group",2019,"Kerosene",1858863.41551233
"2484","KDDI Group",2018,"Kerosene",511215.451071429
"2494","KDDI Group",2017,"Kerosene",1108944.28617033
"2504","KDDI Group",2016,"Kerosene",1528049.10375
"2517","KDDI Group",2015,"Kerosene",901980.138328767
"2524","KDDI Group",2014,"Kerosene",928052.665021978
"2534","KDDI Group",2013,"Kerosene",943782.371208791
"2544","KDDI Group",2012,"Kerosene",1245947.73075
"2554","KDDI Group",2011,"Kerosene",1451011.52687671
"2564","KDDI Group",2010,"Kerosene",2181710.24811099
"2574","KDDI Group",2009,"Kerosene",1889137.71303626
"2583","China Unicom",2019,"Gasoline",44293744
"2593","China Unicom",2018,"Gasoline",30342540.8
"2603","China Unicom",2017,"Gasoline",308730048
"2616","China Unicom",2016,"Gasoline",48378316.8
"2623","China Unicom",2015,"Gasoline",61109452.8
"2633","China Unicom",2014,"Gasoline",66520185.6
"2643","China Unicom",2013,"Gasoline",71188268.8
"2653","China Unicom",2012,"Gasoline",77872115.2
"23713","Fujitsu",2019,"Other",2541198.19340514
"23813","Fujitsu",2018,"Other",2815922.32242191
"23913","Fujitsu",2017,"Other",2953284.38693029
"24013","Fujitsu",2016,"Other",2977917.56568277
"24113","Fujitsu",2015,"Other",2884603.3546761
"24213","Fujitsu",2014,"Other",2953284.38693029
"24313","Fujitsu",2013,"Other",3125193.01066254
"24413","Fujitsu",2012,"Other",3186995.08035245
"24513","Fujitsu",2011,"Other",2712145.28268582
"24613","Fujitsu",2010,"Other",3344903.6328437
"24713","KDDI Group",2020,"Kerosene",617359.747487671
"24813","KDDI Group",2019,"Kerosene",167917.483928571
"24913","KDDI Group",2018,"Kerosene",364251.77282967
"25013","KDDI Group",2017,"Kerosene",503752.451785714
"25113","KDDI Group",2016,"Kerosene",299562.746671233
"25213","KDDI Group",2015,"Kerosene",304834.816978022
"25313","KDDI Group",2014,"Kerosene",310001.508791209
"25413","KDDI Group",2013,"Kerosene",410751.999148352
"25513","KDDI Group",2012,"Kerosene",481905.288123288
"25613","KDDI Group",2011,"Kerosene",716620.154489011
"25713","KDDI Group",2010,"Kerosene",620519.686763736
"1794","Huawei",2018,"Heat",14107695.084
"1804","Huawei",2017,"Heat",13289627.988
"1818","Huawei",2016,"Heat",12406334.976
"1824","Huawei",2015,"Heat",12533738.868
"1834","Huawei",2014,"Heat",12119219.028
"1844","Huawei",2013,"Heat",12712348.152
"1854","Huawei",2012,"Heat",15512185.836
"1954","Microsoft",2019,"Heat",12458000
"1964","Microsoft",2018,"Heat",12002000
"1974","Microsoft",2017,"Heat",12213000
"1984","Microsoft",2016,"Heat",19549000
"1955","Microsoft",2019,"Other",51026000
"1965","Microsoft",2018,"Other",52937000
"1975","Microsoft",2017,"Other",52775000
"1985","Microsoft",2016,"Other",30121000
